LEVEL 0;;LEVEL 1;;LEVEL 2;;LEVEL 3;;LEVEL 4;;;
Клас;Назва;вісь анатомічної локалізації;Назва;вісь процедурної типології;Назва;вісь блоків ;Назва;код;Назва UKR;Назва ENG;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;1;ОБСТЕЖЕННЯ;1;Обстеження черепа, оболонок мозку або головного мозку;40803-00;Внутрішньочерепна стереотаксична локалізація;Electroencephalography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;1;ОБСТЕЖЕННЯ;1;Обстеження черепа, оболонок мозку або головного мозку;40903-00;Нейроендоскопія;Electroencephalography of >= 3 hours duration;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39003-00;Цистернальна пункція;Temporosphenoidal electroencephalography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39006-00;Вентрикулярна пункція;Electrocorticography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39009-00;Пункція у зв’язку з субдуральною гематомою;Electromyography [EMG];
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39703-03;Аспірація кісти головного мозку;Conduction studies on 1 nerve;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;90000-00;Інша пункція черепа;Conduction studies on 1 nerve with electromyography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;3;Введення внутрішньочерепних пристроїв для спинномозкової рідини;39015-00;Встановлення зовнішнього вентрикулярного дренажу;Conduction studies on 2 or 3 nerves;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;3;Введення внутрішньочерепних пристроїв для спинномозкової рідини;39015-01;Введення вентрикулярного резервуара;Conduction studies on 2 or 3 nerves with electromyography;
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;3;Введення внутрішньочерепних пристроїв для спинномозкової рідини;39015-02;Введення пристрою для моніторингу внутрішньочерепного тиску (ВЧТ), з моніторингом;Conduction studies on >= 4 nerves;
