Клас;Назва;Вісь анатомічної локалізації;Назва;Вісь процедурної типології;Назва;Вісь блоків ;Назва;Код;Назва UKR;Назва ENG
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;1;ОБСТЕЖЕННЯ;1;Обстеження черепа, оболонок мозку або головного мозку;40803-00;Внутрішньочерепна стереотаксична локалізація;Intracranial stereotactic localisation
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;1;ОБСТЕЖЕННЯ;1;Обстеження черепа, оболонок мозку або головного мозку;40903-00;Нейроендоскопія;Neuroendoscopy
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39003-00;Цистернальна пункція;Cisternal puncture
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39006-00;Вентрикулярна пункція;Ventricular puncture
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39009-00;Пункція у зв'язку з субдуральною гематомою;Tap for subdural haemorrhage
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;39703-03;Аспірація кісти головного мозку;Aspiration of brain cyst
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;2;Пункція черепа;90000-00;Інша пункція черепа;Other cranial puncture
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;3;Введення внутрішньочерепних пристроїв для спинномозкової рідини;39015-00;Встановлення зовнішнього вентрикулярного дренажу;Insertion of external ventricular drain
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;3;Введення внутрішньочерепних пристроїв для спинномозкової рідини;39015-01;Введення вентрикулярного резервуара;Insertion of ventricular reservoir
Клас 1;ПРОЦЕДУРИ НА НЕРВОВІЙ СИСТЕМІ ;1;ЧЕРЕП, ОБОЛОНКИ МОЗКУ ТА ГОЛОВНИЙ МОЗОК ;2;ПРИКЛАДАННЯ, ВВЕДЕННЯ, ВИДАЛЕННЯ;3;Введення внутрішньочерепних пристроїв для спинномозкової рідини;39015-02;Введення пристрою для моніторингу внутрішньочерепного тиску (ВЧТ), з моніторингом;Insertion of intracranial pressure [ICP] monitoring device, with monitoring
